Date	IBEX	SAN.MC	BBVA.MC	REP.MC	ITX.MC	TL5.MC
22/07/2019	9163.5	3.708322	4.391994	12.172137	27.158724	5.758
23/07/2019	9281.599609	3.843601	4.516963	12.341512	27.327412	5.648
24/07/2019	9329.700195	3.846391	4.515574	13.083102	27.28772	5.68
25/07/2019	9289.900391	3.805017	4.530386	13.311987	27.31749	5.654
26/07/2019	9225.5	3.775729	4.473918	13.353188	27.436562	5.576
29/07/2019	9215.400391	3.751555	4.445221	13.339454	27.267874	5.518
30/07/2019	8986.599609	3.612557	4.310532	13.156345	26.76181	5.354
31/07/2019	8971	3.591638	4.257767	13.170079	26.821348	5.322
01/08/2019	9038.200195	3.60326	4.291092	13.064791	27.347256	5.274
02/08/2019	8897.599609	3.491225	4.186025	12.648218	26.831272	5.292
05/08/2019	8777.200195	3.437764	4.128631	12.433066	26.176365	5.196
06/08/2019	8699.400391	3.369892	4.086049	12.272846	25.759607	5.214
07/08/2019	8746.099609	3.3592	4.079569	12.048538	26.087061	5.324
08/08/2019	8869	3.435439	4.181859	12.112626	26.523663	5.32
09/08/2019	8757.799805	3.360594	4.106414	12.011917	26.295439	5.206
12/08/2019	8676.400391	3.30109	3.958302	11.860853	26.136675	5.152
13/08/2019	8695.099609	3.33921	4.029582	11.984451	26.037445	5.24
14/08/2019	8522.700195	3.226245	3.928217	11.627389	25.620687	5.29
15/08/2019	8519	3.230429	3.919423	11.425969	25.392464	5.254
16/08/2019	8670.400391	3.333632	4.041152	11.421392	25.789375	5.53
19/08/2019	8733.299805	3.299231	3.951359	11.737254	26.404591	5.652
20/08/2019	8618.299805	3.245305	3.894428	11.494637	26.126751	5.478
21/08/2019	8701.5	3.239726	3.916645	11.718944	26.930498	5.8
22/08/2019	8716.400391	3.279706	4.003662	11.70521	27.00988	6.006
23/08/2019	8649.5	3.22392	3.924977	11.490058	26.841192	6.022
26/08/2019	8679.200195	3.249489	3.958302	11.531258	26.682428	6
27/08/2019	8728.900391	3.222061	3.971725	11.490058	26.950344	5.978
28/08/2019	8747.099609	3.22578	3.956451	11.792187	27.337334	5.85
29/08/2019	8794.299805	3.215088	4.001348	11.961561	27.486177	5.85
30/08/2019	8812.900391	3.198352	3.98885	12.103472	27.902935	5.758
02/09/2019	8815.5	3.193239	3.959691	12.240803	27.635019	5.966
03/09/2019	8809.200195	3.159767	3.967559	12.18587	27.654865	5.896
04/09/2019	8856.599609	3.16767	3.992553	12.414756	27.585403	6.004
05/09/2019	8992.700195	3.279241	4.161956	12.611597	28.319693	6.17
06/09/2019	8990.099609	3.28296	4.156402	12.46511	28.428843	6.19
09/09/2019	9010.599609	3.362453	4.260081	12.707729	28.567762	6.24
10/09/2019	9078.200195	3.459148	4.347097	12.959503	28.389153	6.122
11/09/2019	9059.5	3.449851	4.329046	12.831327	27.28772	6.186
12/09/2019	9082.299805	3.466121	4.377645	12.666531	26.97019	6.162
13/09/2019	9137.900391	3.552588	4.504004	12.803862	26.702274	6.136
16/09/2019	9052	3.501452	4.438742	12.941193	26.354975	6.056
17/09/2019	9004.200195	3.399644	4.348486	12.831327	26.454205	6.002
18/09/2019	9031.700195	3.366173	4.343857	12.877105	26.424435	5.986
19/09/2019	9136	3.461937	4.429022	13.055635	26.930498	5.982
20/09/2019	9179	3.495873	4.53594	13.009859	27.059496	6.162
23/09/2019	9093.599609	3.399644	4.337378	13.096835	27.406794	6.04
24/09/2019	9118.200195	3.374076	4.323029	12.968658	27.625095	6
25/09/2019	9085.299805	3.387092	4.328583	12.895415	27.496098	5.866
26/09/2019	9129.700195	3.381979	4.345708	12.959503	27.684631	5.936
27/09/2019	9184.099609	3.440088	4.394308	13.096835	27.902935	5.95
30/09/2019	9244.599609	3.474024	4.425319	13.128879	28.180773	5.914
01/10/2019	9165.900391	3.416379	4.351263	13.096835	27.952547	6.014
02/10/2019	8912.200195	3.269943	4.183248	12.790129	27.079342	5.826
03/10/2019	8902.200195	3.26204	4.183248	12.574975	27.208338	5.794
04/10/2019	8961.799805	3.279706	4.198059	12.620753	27.595325	5.742
07/10/2019	9044.099609	3.307598	4.246195	12.904571	27.912855	5.75
08/10/2019	8940.099609	3.273197	4.170751	12.762662	27.28772	5.68
09/10/2019	8991.900391	3.294582	4.171214	12.899994	27.565559	5.642
10/10/2019	9104.400391	3.380584	4.284149	13.101413	27.982317	5.69
11/10/2019	9273.799805	3.525626	4.462025	13.325721	28.349461	5.638
14/10/2019	9246.5	3.49076	4.384914	13.298254	28.190695	5.65
15/10/2019	9356.099609	3.621855	4.493248	13.472207	28.309771	5.65
16/10/2019	9386.700195	3.645099	4.548597	13.490519	28.52807	5.504
17/10/2019	9340	3.586989	4.472433	13.435586	28.319693	5.542
18/10/2019	9329.799805	3.598146	4.521159	13.275366	28.230387	5.584
21/10/2019	9402.299805	3.686938	4.628547	13.339454	28.299847	5.574
22/10/2019	9380.200195	3.686473	4.623816	13.36692	28.071623	5.592
23/10/2019	9385	3.706463	4.643685	13.52714	27.833473	5.588
24/10/2019	9391.799805	3.672062	4.62287	13.664472	27.932701	5.534
25/10/2019	9430.200195	3.702279	4.621924	13.723982	28.061699	5.542
28/10/2019	9433	3.699489	4.619085	13.838424	28.121235	5.538
29/10/2019	9400.099609	3.687868	4.594958	13.778914	28.270077	5.468
30/10/2019	9284.5	3.538121	4.479528	13.678204	28.280001	5.402
31/10/2019	9257.5	3.427957	4.468648	13.458474	27.950001	5.48
01/11/2019	9328	3.443218	4.478109	13.865891	28.24	5.462
04/11/2019	9416.400391	3.555766	4.6153	14.163443	28.209999	5.476
05/11/2019	9407.900391	3.608225	4.687208	14.113088	28.09	5.456
06/11/2019	9398.400391	3.593441	4.6399	13.852158	28.48	5.548
07/11/2019	9447.299805	3.668315	4.720323	13.865891	28.280001	5.574
08/11/2019	9393.700195	3.588196	4.690992	13.769759	27.52	5.634
11/11/2019	9388.5	3.567212	4.677273	13.760604	27.6	5.666
12/11/2019	9306.700195	3.529537	4.651727	13.751448	27.120001	5.734
13/11/2019	9194.5	3.406497	4.500344	13.476786	27.389999	5.682
14/11/2019	9173.299805	3.384082	4.484732	13.362343	27.65	5.686
15/11/2019	9261.400391	3.408881	4.510751	13.449319	27.98	5.686
18/11/2019	9258	3.376452	4.480474	13.394386	28.1	5.646
19/11/2019	9259.200195	3.388851	4.505548	13.380653	27.639999	5.644
20/11/2019	9225.400391	3.374067	4.471486	13.316566	27.34	5.658
21/11/2019	9214	3.403635	4.504601	13.225011	27.549999	5.678
22/11/2019	9254.700195	3.444649	4.539136	13.36692	27.49	5.898
25/11/2019	9319.900391	3.467063	4.556166	13.440164	27.719999	5.95
26/11/2019	9324.799805	3.42748	4.533459	13.357764	27.92	5.92
27/11/2019	9362.700195	3.437018	4.568466	13.275366	27.9	5.978
28/11/2019	9359	3.402204	4.548124	13.188389	28.23	6.112
29/11/2019	9352	3.37359	4.523997	13.083102	28.26	5.926
02/12/2019	9156.299805	3.321131	4.440737	12.950349	27.67	5.754
03/12/2019	9135.700195	3.292041	4.406202	12.904571	27.9	5.614
04/12/2019	9270.799805	3.388374	4.474325	13.138035	28.040001	5.734
05/12/2019	9243.400391	3.37359	4.469594	13.128879	28.040001	5.654
06/12/2019	9382.700195	3.419373	4.525417	13.398964	28.92	5.75
09/12/2019	9354.599609	3.423188	4.499871	13.238744	28.73	5.67
10/12/2019	9321.099609	3.417465	4.503655	13.138035	28.620001	5.666
11/12/2019	9392.5	3.396959	4.507913	13.138035	30.120001	5.664
12/12/2019	9468.5	3.517614	4.655985	13.160922	30.16	5.678
13/12/2019	9563.700195	3.539552	4.68295	13.115146	30.549999	5.664
16/12/2019	9680.599609	3.623009	4.79223	13.183811	31.1	5.674
17/12/2019	9615.900391	3.591534	4.776145	13.168718	31.030001	5.574
18/12/2019	9621.799805	3.621102	4.820614	13.187585	31.1	5.548
19/12/2019	9617.200195	3.620625	4.876437	13.187585	31.27	5.52
20/12/2019	9675.5	3.6459	4.865083	13.286633	31.43	5.578
23/12/2019	9659.599609	3.591057	4.815884	13.347949	31.66	5.59
24/12/2019	9661.799805	3.581519	4.788445	13.352665	31.77	5.52
25/12/2019	9681.149903	3.581519	4.788445	13.352665	31.77	5.52
27/12/2019	9700.5	3.58295	4.76763	13.395115	32.150002	5.584
30/12/2019	9612.599609	3.569597	4.735461	13.324366	31.75	5.576
31/12/2019	9549.200195	3.557674	4.714646	13.140419	31.450001	5.66
02/01/2020	9691.200195	3.687391	4.834806	13.267767	31.75	5.616
03/01/2020	9646.599609	3.630163	4.781822	13.432847	31.809999	5.596
06/01/2020	9600.900391	3.600118	4.761007	13.536613	31.530001	5.606
07/01/2020	9579.799805	3.58295	4.740192	13.423414	31.93	5.67
