educ	PIBpc
13.1086	36173.65
10.0443	12072.39
8.47869	15039.93
5.97306	15071.67
1.97913	1163.429
4.97165	6242.538
8.64602	2415.951
6.03332	20438.41
2.77045	2739.568
3.18915	2170.577
8.51217	4458.878
4.36079	2376.496
14.2045	42958.43
4.72357	1674.637
2.13197	3143.766
8.25696	6869.855
4.06402	1791.878
10.8656	34263.17
8.64738	6151.397
11.1468	24451.26
6.66501	9640.364
8.25856	35284.44
3.34194	5720.679
11.7009	6672.789
4.4093	3094.378
7.23055	3943.432
9.95832	16037.04
5.52674	2663.492
4.86234	3702.016
7.9597	12247.57
9.87321	16836.83
7.62253	56212.48
6.01917	9418.394
3.26321	540.2772
9.39717	29253.1
8.63237	9102.208
3.42831	1067.882
9.96594	32030.48
8.96992	13596.26
6.08424	408.8471
12.974	25782.14
3.52086	1815.481
11.7573	14268.15
8.95063	13818.56
4.84711	1363.531
11.0495	38756.76
8.30106	27473.93
6.32135	9695.791
11.9763	15513.67
9.05042	14964.96
7.91248	14355.14
9.09256	65999.03
11.3372	57332.24
1.30779	1105.05
4.68852	3586.119
10.7567	14791.25
8.43962	8000.848
9.9035	18875.22
8.17781	6956.594
4.34867	14976.75
9.93583	11417.87
5.88574	4407.963
11.2019	23777.26
8.32881	7867.215
2.55532	1641.894
6.60048	8638.432
3.0895	920.3279
10.8391	33944.36
8.51234	3607.303
5.53265	12149.88
8.6976	12176.59
5.13762	1633.3
2.07587	1080.057
6.7956	10622.28
11.8884	61246.04
9.3311	11904.26
7.47993	2671.54
7.27793	13680.1
10.9167	32918.07
6.65325	13666.05
4.41998	2232.82
11.0365	32928.3
10.0936	49735.24
5.72836	9220.936
7.73073	24253.61
6.16557	26430.33
6.65823	3562.154
8.07002	10540.02
6.93512	26703.96
3.10579	350.9354
7.8541	4428.261
9.85411	52394.95
9.84993	25850.84
2.07822	1888.088
1.10873	720.5781
3.35473	3878.751
6.00048	65095.45
6.8191	11968.5
6.21801	4831.834
11.2953	22577.92
5.95129	4364.89
8.24996	21028.15
8.0541	9460.94
2.72532	778.6151
10.2696	22665.64
6.17361	6661.209
8.0981	5441.57
13.9216	41857.84
3.87499	4608.889
8.62263	5783.071
11.147	32096.98
2.83875	1313.799
11.4732	21420.23
1.10075	908.407
11.4658	29578.65
9.99832	4896.418
5.61748	6306.992
14.0699	29121.91
3.74562	2860.807
7.67632	3659.399
8.57441	10033.3
11.4811	32047.59
1.75223	714.5064
9.11202	20328.58
8.28746	4090.584
4.16924	5335.388
3.16851	1280.684
3.74181	2850.389
2.20341	2023.053
13.2223	37800.86
12.5027	42428.16
8.19168	115267
