estacion,magnitud,ano,mes,dia,dato_no2
4,8,2019,01,d01,71
4,8,2019,01,d02,84
4,8,2019,01,d03,77
4,8,2019,01,d04,86
4,8,2019,01,d05,75
4,8,2019,01,d06,82
4,8,2019,01,d07,87
4,8,2019,01,d08,90
4,8,2019,01,d09,74
4,8,2019,01,d10,51
4,8,2019,01,d11,82
4,8,2019,01,d12,64
4,8,2019,01,d13,62
4,8,2019,01,d14,105
4,8,2019,01,d15,91
4,8,2019,01,d16,61
4,8,2019,01,d17,63
4,8,2019,01,d18,57
4,8,2019,01,d19,52
4,8,2019,01,d20,43
4,8,2019,01,d21,61
4,8,2019,01,d22,54
4,8,2019,01,d23,26
4,8,2019,01,d24,51
4,8,2019,01,d25,60
4,8,2019,01,d26,52
4,8,2019,01,d27,32
4,8,2019,01,d28,25
4,8,2019,01,d29,30
4,8,2019,01,d30,29
4,8,2019,01,d31,18
4,8,2019,02,d01,18
4,8,2019,02,d02,26
4,8,2019,02,d03,41
4,8,2019,02,d04,74
4,8,2019,02,d05,74
4,8,2019,02,d06,66
4,8,2019,02,d07,73
4,8,2019,02,d08,58
4,8,2019,02,d09,54
4,8,2019,02,d10,19
4,8,2019,02,d11,42
4,8,2019,02,d12,58
4,8,2019,02,d13,73
4,8,2019,02,d14,73
4,8,2019,02,d15,80
4,8,2019,02,d16,50
4,8,2019,02,d17,58
4,8,2019,02,d18,65
4,8,2019,02,d19,67
4,8,2019,02,d20,63
4,8,2019,02,d21,68
4,8,2019,02,d22,78
4,8,2019,02,d23,80
4,8,2019,02,d24,63
4,8,2019,02,d25,78
4,8,2019,02,d26,70
4,8,2019,02,d27,78
4,8,2019,02,d28,89
4,8,2019,02,d29,0
4,8,2019,02,d30,0
4,8,2019,02,d31,0
4,8,2019,03,d01,64
4,8,2019,03,d02,58
4,8,2019,03,d03,40
4,8,2019,03,d04,18
4,8,2019,03,d05,33
4,8,2019,03,d06,23
4,8,2019,03,d07,29
4,8,2019,03,d08,52
4,8,2019,03,d09,56
4,8,2019,03,d10,46
4,8,2019,03,d11,50
4,8,2019,03,d12,46
4,8,2019,03,d13,33
4,8,2019,03,d14,52
4,8,2019,03,d15,74
4,8,2019,03,d16,55
4,8,2019,03,d17,39
4,8,2019,03,d18,26
4,8,2019,03,d19,26
4,8,2019,03,d20,29
4,8,2019,03,d21,55
4,8,2019,03,d22,61
4,8,2019,03,d23,47
4,8,2019,03,d24,45
4,8,2019,03,d25,44
4,8,2019,03,d26,24
4,8,2019,03,d27,57
4,8,2019,03,d28,62
4,8,2019,03,d29,55
4,8,2019,03,d30,44
4,8,2019,03,d31,42
4,8,2019,04,d01,45
4,8,2019,04,d02,49
4,8,2019,04,d03,45
4,8,2019,04,d04,33
4,8,2019,04,d05,31
4,8,2019,04,d06,20
4,8,2019,04,d07,19
4,8,2019,04,d08,28
4,8,2019,04,d09,25
