name	year	month	day	hour	status	category	wind	pressure	tropicalstorm_force_diameter	hurricane_force_diameter
Amy	1975	6	27	0	tropical depression	-1	25	1013	NA	NA
Amy	1975	6	27	6	tropical depression	-1	25	1013	NA	NA
Amy	1975	6	27	12	tropical depression	-1	25	1013	NA	NA
Amy	1975	6	27	18	tropical depression	-1	25	1013	NA	NA
Amy	1975	6	28	0	tropical depression	-1	25	1012	NA	NA
Amy	1975	6	28	6	tropical depression	-1	25	1012	NA	NA
Amy	1975	6	28	12	tropical depression	-1	25	1011	NA	NA
Amy	1975	6	28	18	tropical depression	-1	30	1006	NA	NA
Amy	1975	6	29	0	tropical storm	0	35	1004	NA	NA
Amy	1975	6	29	6	tropical storm	0	40	1002	NA	NA
Amy	1975	6	29	12	tropical storm	0	45	1000	NA	NA
Amy	1975	6	29	18	tropical storm	0	50	998	NA	NA
Amy	1975	6	30	0	tropical storm	0	50	998	NA	NA
Amy	1975	6	30	6	tropical storm	0	55	998	NA	NA
Amy	1975	6	30	12	tropical storm	0	60	987	NA	NA
Amy	1975	6	30	18	tropical storm	0	60	987	NA	NA
Amy	1975	7	1	0	tropical storm	0	60	984	NA	NA
Amy	1975	7	1	6	tropical storm	0	60	984	NA	NA
Amy	1975	7	1	12	tropical storm	0	60	984	NA	NA
Amy	1975	7	1	18	tropical storm	0	60	984	NA	NA
Amy	1975	7	2	0	tropical storm	0	60	984	NA	NA
Amy	1975	7	2	6	tropical storm	0	60	984	NA	NA
Amy	1975	7	2	12	tropical storm	0	60	981	NA	NA
Amy	1975	7	2	18	tropical storm	0	60	986	NA	NA
Amy	1975	7	3	0	tropical storm	0	55	986	NA	NA
Amy	1975	7	3	6	tropical storm	0	55	986	NA	NA
Amy	1975	7	3	12	tropical storm	0	55	986	NA	NA
Amy	1975	7	3	18	tropical storm	0	50	986	NA	NA
Amy	1975	7	4	0	tropical storm	0	50	986	NA	NA
Amy	1975	7	4	6	tropical storm	0	50	986	NA	NA
Caroline	1975	8	24	12	tropical depression	-1	25	1011	NA	NA
Caroline	1975	8	24	18	tropical depression	-1	25	1011	NA	NA
Caroline	1975	8	25	0	tropical depression	-1	25	1010	NA	NA
Caroline	1975	8	25	6	tropical depression	-1	25	1010	NA	NA
Caroline	1975	8	25	12	tropical depression	-1	25	1011	NA	NA
Caroline	1975	8	25	18	tropical depression	-1	25	1011	NA	NA
Caroline	1975	8	26	0	tropical depression	-1	25	1011	NA	NA
Caroline	1975	8	26	6	tropical depression	-1	25	1011	NA	NA
Caroline	1975	8	26	12	tropical depression	-1	25	1012	NA	NA
Caroline	1975	8	26	18	tropical depression	-1	25	1012	NA	NA
Caroline	1975	8	27	0	tropical depression	-1	25	1013	NA	NA
Caroline	1975	8	27	6	tropical depression	-1	25	1013	NA	NA
Caroline	1975	8	27	12	tropical depression	-1	25	1014	NA	NA
Caroline	1975	8	27	18	tropical depression	-1	25	1014	NA	NA
Caroline	1975	8	28	0	tropical depression	-1	25	1014	NA	NA
Caroline	1975	8	28	6	tropical depression	-1	25	1014	NA	NA
Caroline	1975	8	28	12	tropical depression	-1	25	1013	NA	NA
Caroline	1975	8	28	18	tropical depression	-1	25	1010	NA	NA
Caroline	1975	8	29	0	tropical depression	-1	30	1007	NA	NA
Caroline	1975	8	29	6	tropical storm	0	35	1003	NA	NA
Caroline	1975	8	29	12	tropical storm	0	40	999	NA	NA
Caroline	1975	8	29	18	tropical storm	0	50	994	NA	NA
Caroline	1975	8	30	0	hurricane	1	65	990	NA	NA
Caroline	1975	8	30	6	hurricane	1	65	990	NA	NA
Caroline	1975	8	30	12	hurricane	1	65	989	NA	NA
Caroline	1975	8	30	18	hurricane	1	70	987	NA	NA
Caroline	1975	8	31	0	hurricane	3	100	973	NA	NA
Caroline	1975	8	31	6	hurricane	3	100	963	NA	NA
Caroline	1975	8	31	12	hurricane	2	90	963	NA	NA
Caroline	1975	8	31	18	tropical storm	0	55	993	NA	NA
Caroline	1975	9	1	0	tropical depression	-1	30	1000	NA	NA
